S.No,comments ,Label
HATE_1308,Dil Raju Mari ekkuva chestunnadu ... no one can name like pspk ...,hate
HATE_1309,Every person who is a pen is Sri Sri,non-hate
HATE_1310,"Don't Compare It With Powerstar, Veedi Laga Chetha Character Lu",hate
HATE_1311,POWER STAR ANTHA SCENE LEDU,hate
HATE_1312,King of Over Acting Anna Ki Best Over Actor Award Always Goes To Vijay Konda Babu,hate
HATE_1313,Comparing Every Single Bok Gadu With Pawan Kalyan,hate
HATE_1314,Powar Star Okkade Adhi Pawan Kalyan Inka Yavaru Leru,non-hate
HATE_1315,Yenta Mandhi Stars Vunna Pawan Kalyan Ye Power Star,non-hate
HATE_1316,Anil Rawapudi did very well,non-hate
HATE_1317,Audio Function Super Comedy Super Super Super,non-hate
HATE_1318,Venky sir ki assalu ego anedi leneledhu sir ur super man,non-hate
HATE_1319,Super Andy Adigar .. Very well said .. Every celebrity should think ..,non-hate
HATE_1320,ADHI .... God who believes in religions,hate
HATE_1321,Brother Shivaji Maharaj knows that he is not aware of a son.,hate
HATE_1322,Master is the Interview Law No Interrogation Law Super,non-hate
HATE_1323,Anchor who has spoken so long without hitting ...,hate
HATE_1324,Shiva Anna is smiling and showing hell ...,hate
HATE_1325,Video Super Interview Shiva Bhayya,non-hate
HATE_1326,BAGA CHEPARU Nani Anna Meru Correct,non-hate
HATE_1327,Nani Anna Meru Great,non-hate
HATE_1328,Andukokune Vaalu Laga Vunnaru Meru Natho Comparision Na,hate
HATE_1329,kallu pathukoni sanka kannidhi meru,hate
HATE_1330,Jr NTR Chala Vinayam ga vuntaru,non-hate
HATE_1331,Anyone who has a part of any part of any other fans,non-hate
HATE_1332,"When God sends this man to this world, the option to speak the truth is disable and sent",non-hate
HATE_1333,Anchor Garu Actually,non-hate
HATE_1334,He is genuine person,non-hate
HATE_1335,Do you bring any funds from the government except for you Kettireddy.,hate
HATE_1336,RAI He is doing a job corrected why the leaders of the Raw are blaming the leaders ...,hate
HATE_1337,RIP AP Politicians .... Targeting one of them means that he is definitely doing duty ....,hate
HATE_1338,Mādi tlaṅgāṇa rāṣṭraṁ sār .... kānī rājakīya nāyakulalō mīraṇṭē entō gauravaṁ ........,non-hate
HATE_1339,Andarilo niladhiyadam. Sari ayina paddathi kadhu. Every One has Self respect. He is also citizen ok.,non-hate
HATE_1340,Sir m l a garu prajala vadaku meru vachi chalabaga matladinaru sir bat all m l as nidarsanam. Very good sir m l a garu ...,non-hate
HATE_1341,Seemasimham Ante Ila Undali Great MLA Gaaru Dharmavaram Prajalu Adhrushtavanthulu.,non-hate
HATE_1342,Nayakudu Ela Undali God Bless You Sir,non-hate
HATE_1343,"Sarpanchulu, Corporator lu kadhu vallu lakshalu kottlu nokkeseki. Volunteers, respect Ivvatam Nerchukondi MLA",hate
HATE_1344,"Sadly, he is a pity that everyone is pitying him together and taking the video on social media.
MLA Kettireddy asked you to ask you Higher Apparis.
Do not torture the mentally persons of such small employees.",hate
HATE_1345,"Volunteer Chesedhi Seva .. Praja Seva Oka Rakamga ... Adhi emi govt job kadhu, choppinavanni thala upu upu kunta cheyani ki. TIME Paduthundi Andhariki Anni Chusukoni, Vallaku Help Cheyali Ante. Volunteer anevaru help chese vallu, society ki, andhukani help chepinchukondi anni musukoni .. pani kadhu chepinchukovalsindi.",hate
HATE_1346,"In this retail crowd insulting this Entech Babu, everyone has a pension and give it to the MLA Buildup, and why is the illusion that this job is yet to be merciful. Look at the job in Hyderabad",hate
HATE_1347,Ilani MLA Anni Niyojaka Vargallo Enduku Leru !!!,non-hate
HATE_1348,Listen to the name of the elder brother goose bums,non-hate
HATE_1349,RGV Tho Vaka Interview Plan Chesthunava Nuvu Kuda,non-hate
HATE_1350,Idi Edo Reel Kabhatti Sari Poindhi Lekha Pothe Aadhi Anna Deenikhi Kuda Eadoka Setair Vesevadu Mee Mee Mee Mee Mee,non-hate
HATE_1351,Mana nāyakulu eppuḍu Cinna vāḷḷa mīda pratāpaṁ cūpistāru ..... phasṭ pōyi rōḍlu vēyaṇḍi nīṭ gā ....,hate
HATE_1352,You know that you are experiencing the Easy Easy there ...,hate
HATE_1353,Mundhu rtc buses lo students Entha Ibbandhi Padivelthunnaru Chudandii Valla Hanging Conditions You Have to Notice Everything,hate
HATE_1354,"Thumbnail Marchuko Bro Ayana CI, Si Kaadhu Me Veiws Kosam Edhanna Pedtharu",hate
HATE_1355,"Auto Vallu, Volunteer Meda Kadu. 1st ROADS DRAINAGE ETC CHOODU",hate
HATE_1356,Nuvvu king mawa,non-hate
HATE_1357,Arrest before .. Bring the media kiss Ra ...,hate
HATE_1358,Slave Kattappa came out ..,hate
HATE_1359,What do you come on work on what you mlc ni arest before matlduthunvu,hate
HATE_1360,Inthavaraku OKA YSRCP MLA Velli Subrahmanyam Family,hate
HATE_1361,Rey Me Self Dabba Apandi Ra Babu…. Elane Late Chesi Janali Yadavalni Chestunnaru… mundu arrest cheyandi,hate
HATE_1362,Enrest before. He is doing the screaming. Why did the media come forward?,hate
HATE_1363,Ore ni veshalu api pani chusko,hate
HATE_1364,Me bathukulu yenduku ra,hate
HATE_1365,The hard work you are doing for poor children is unavailable.,non-hate
HATE_1366,hmtv ki koncham ina siggu unte..title sakkaga petandhi first,hate
HATE_1367,Mallanna Fighting For Every Thing,non-hate
HATE_1368,Anchor Ki Questions Adagatam Reledhu ......,hate
HATE_1369,Madam Meeru Good Questions Aduguthunnaru,non-hate
HATE_1370,Thumbnail chetha ga undi,hate
HATE_1371,Telangana State Soon the economic downturn of Sri Lanka is to be prepared for the people of the country.,hate
HATE_1372,Anji mama and sathi anna combination adhirindi,non-hate
HATE_1373,Jyosham kana nenu ni mida penchukuna prema goppadi super,non-hate
HATE_1374,Sir Paul Garu is a man who makes a good person for ten,non-hate
HATE_1375,"Sir occasionally take his interview sir, Full Entertainment Sir, can laugh well .....",non-hate
HATE_1376,"He did not seek the downfall, who did not do what he did .. The grace of God ... Lord blessing.",non-hate
HATE_1377,All these days are something that is doubtful Paul Garu Pichoda but now it is confirmed to me,hate
HATE_1378,botsa oka pichodu,hate
HATE_1379,How much laughter came. Super Speech Anna.,non-hate
HATE_1380,Its NTR Revolution Prapan̄ca Sini Caritralō Naṭane ūpiri Gā jīvistunna goppa vyakti mā anna tārakarāmuḍu,non-hate
HATE_1381,"This song wants to hear again .. Prabhas, Puja Hegde .. Love Scenes Really Awesome .. Cuteness Overload",non-hate
HATE_1382,Take a bow to the girl .Take my respect,non-hate
HATE_1383,Its BGM is still good in the climax in the train scene,non-hate
HATE_1384,Manchi pani chesaru,non-hate
HATE_1385,Em parva ledu e narayana college valla entho mandi pillalu chanipoyhunaru,hate
HATE_1386,"Emumdi le Narayana Swamy ... Court Karchulu, Lawyers Karchulu ... etc anni Next year Fees Penchi, Vasulu Chesukovachu ... Anthe Ga .. Pillala usuru tagilindi.",hate
HATE_1387,Exams Lo Vundey Vallani Invigilators Antaru Adi Kuda Teledhu Veedu Minister Chesadu ...,hate
HATE_1388,Chepadaniku siggu ledu ra neeku,hate
HATE_1389,Sajjanar Sir Meru Great. meru cheshindhi chaala manchi pani,non-hate
HATE_1390,NO One Can Write Meaningful Songs Like You Sir..Me You Sir ... Om Shanti ....,non-hate
HATE_1391,"RIP SIR .. When you leave us, you will always live in our heart in the form of your songs",non-hate
HATE_1392,Who can not even write meaningful songs like you?,non-hate
HATE_1393,"Miss You Balu Garu, when you hear your song, the mind is very calm.",non-hate
HATE_1394,Malli siggu lekunda noob account eskoni vachesava,hate
HATE_1395,vachanu anuko gudda paligipodhi,hate
HATE_1396,"No.1 Lanje, Sri Reddy Chelly",hate
HATE_1397,After long tym kadupubba navvanu..tnx paithyamaawa,non-hate
HATE_1398,Sonusud Sir is the only real hero God to protect all the people in the danger of Sonusud Sar,non-hate
HATE_1399,My Bharatmata is so great because it is a great man like Sonusud,non-hate
HATE_1400,"You are a real hero, power stars, mega stars are the only heroes on the screen, and in real life they are zeroes",non-hate
HATE_1401,RGV is the good of our Telugu people who are born as Telugu,non-hate
HATE_1402,"RGV is very culture ..... man is his word, sight, behavior ...",non-hate
HATE_1403,"Go. The respect gave it so that the beside. Otherwise, Mohane spit the words of him, if anyone else",hate
HATE_1404,Houselo Lekapoyatapadike Gopalu Chepukuntunadu Waste Gadu,hate
HATE_1405,Bindu Ante Flower Anukunnava Fire Fire AHEE,non-hate
HATE_1406,RIP Mahesh Garu said that even those with minimum knowledge. I want to give God knowledge of the uneducated. You can correct the mistakes only when accepting the facts.,non-hate
HATE_1407,When is Trivikram's writing ..,non-hate
HATE_1408,Mana Deshamlo Babu Gogineni Gaaru Lanti Valu Chalakavali,non-hate
HATE_1409,Babu Gogineni Gaaru Chaala Manchi Reformer Mana Ilani Vallu Kavali,non-hate
HATE_1410,Astrologer Pradeep Joshi pedda book gaadu,hate
HATE_1411,Aithey Entra Koushal mundhu odipoyav kadha enka sigguledhu neku koushal army tho thanninchukuney varaku vurukunnattulevu,hate
HATE_1412,"Koushal Nijamja Peddha Manchi Manishi
",non-hate
HATE_1413,"Telugu Prajalu Chaala Ardusthavantadhulu Manaki Garikipati Garu Dorikinanduku
",non-hate
HATE_1414,"Our thanks for saying the greatness of Hinduism
 Hare Krishna",non-hate
HATE_1415,"The mother's words mean, and the excitement. Everything should be done for that family.
",non-hate
HATE_1416,"
Bhaiya is hard to get like this 5 minutes but you have done 45 minutes video",non-hate
HATE_1417,PO RA PICHI KUKKA. siggu ledhu em ledhu asla manishi vey na,hate
HATE_1418,Warner Ni Retain Cheyakapote SRH Management Gudda Pagilipoddi,non-hate
HATE_1419,3D Player Ha Boogu Ha Asla Bat Pattukovadam Raadu,hate
HATE_1420,Anayana kapoor overaction tappa em ledhu,hate
HATE_1421,"You are laughing and killing you ...
Getup Srinu ..your awesome ...",non-hate
HATE_1422,mahesh babu gari die hard fan,non-hate
HATE_1423,rashmika cheshedhi anta over acting tappa em ledhu,hate
HATE_1424,Ery Puk moody valla srh playoffs ki pole,hate
HATE_1425,Lanja Puk Managment Valla Ma Warner Mamali Vadi Velipoyaru,hate
HATE_1426,lofar lanjakodaka delete cheyi first,hate
HATE_1427,ne photo pdutha agu ra puka,hate
HATE_1428,delete cheii bro lekopothey kcpd,hate
HATE_1429,nee account report Chepista Agu ra Puka,hate
HATE_1430,ma anna nee troll chestava ra puka,hate
HATE_1431,Rey Delete Cheyi Lawde,hate
HATE_1432,Delete Cheii Raa Koja,hate
HATE_1433,Moham Medha Dengutharuu,hate
HATE_1434,em lanjakodukulu rs meeru,hate
HATE_1435,Fans Ne Like: Naaky Intrest Poyindhi Lo IPL,hate
HATE_1436,Bro Delete Cheyakapothey ma fans ninnu degenutharu,hate
HATE_1437,Arey Sulli gah ma rc medhey chesthava ra,hate
HATE_1438,waste na kodaka athumukka post lu chesthunavu ra,hate
HATE_1439,ne notlo na modda delete cheeyi ra gandu,hate
HATE_1440,Baga edit chesaru bayya,non-hate
HATE_1441,gaajulu thodukoni intlo kurcho,hate
HATE_1442,Munna bhaiya mi abbimanini inkada. ni kosam pranam istha,non-hate
HATE_1443,PUNJU VACHI PITTA NI DENGITHEY NENU Commentry Chepijry Ala Vuntadhi # Punjuunggamer,hate
HATE_1444,Okko Comment Okka Diamonad Lags Vundhi Bayya,non-hate
HATE_1445,Dengethe Desam Pothadhi Ball Degradun Beyy Dehradun,hate
HATE_1446,naku telusu ra nuvvu thedha lanja vi anni,hate
HATE_1447,kallu kakulu dengiyaa naa lanja kodaka,hate
HATE_1448,"pichi puka adhi wiide ra, nuvvu ni eri puku umpiring",hate
HATE_1449,Veedu Pani Ipoendhi,hate
HATE_1450,Pora kukka,hate
HATE_1451,Buthula Saka Mantri ....,hate
HATE_1452,Kojja mundu supply epinchandi.,hate
HATE_1453,Listen to this song of the day my ring tone is the Super Song,non-hate
HATE_1454,Super Duper Hit Movie Thanks Life,non-hate
HATE_1455,This is the first time to hear about the picholes but,hate
HATE_1456,Challe's eyes wipe the bull. It is poverty,hate
HATE_1457,"Your rhyme, Review Super Baya Hatss Off to Kannada Film Industry Next Level Movie Keep it Up",non-hate
HATE_1458,Super bro your crying is very good for me,non-hate
HATE_1459,"If you don't watch the movies, you will see your review not to miss the side of the movie Vishwak Anna Movie Review",non-hate
HATE_1460,The movie is very nice ... Superb ... good film,non-hate
HATE_1461,Mahidhar Bro Meru Chala Genuine Person ....,non-hate
HATE_1462,"How much racial gems laugh at the movie, I laughed at this Cash Program",non-hate
HATE_1463,IPPATIKI 10 TIMES Chusaanu What A Humorous .... Innocent Dialogues Superb,non-hate
HATE_1464,Director di Super Comedy,non-hate
HATE_1465,This movie is very very nice Anna Like a Like,non-hate
HATE_1466,Super Bro ........ Review is the same .....,non-hate
HATE_1467,He said that he wants to say goodbye to Bhaiya and better,non-hate
HATE_1468,Acharya movie is very nice,non-hate
HATE_1469,Koratala Siva's story is not well taken ..,hate
HATE_1470,Flop Vachina Director's Ki Hit Yevvadam NTR Anna Ki Sontham,non-hate
HATE_1471,Ekkada memu NTR Fans Evaru Bayapadatam Ledu Enudkante Hero Director Ki Freedom Ivvali ...,non-hate
HATE_1472,Balayya Oka Vedhava Anukune Vallu Oka Like Veskondi,hate
HATE_1473,Slient Pettu Bangaram Phone,hate
HATE_1474,Tension Lo Silent Lo Pettadam Marchipoyindhi,non-hate
HATE_1475,Naresh Pottigane Vundura Famous GA VUNTAV,non-hate
HATE_1476,Deeni ycp lo ki raanivvakandi,hate
HATE_1477,TD Janrdan CBN Binami Eddaru Dongale Avasaraniki Vadukon Vadilese CBN TDP Partty,hate
HATE_1478,Does this really do this song,non-hate
HATE_1479,Aada paduchula usuru thagili yellow party nasanam kavali.,non-hate
HATE_1480,E Phone Baya Inta Clarity Vachindi Video Adi Theater Lo,non-hate
HATE_1481,Nelanti Vallu Valla Nijame Ayina Devunuki Avamanam Jarukutundhi,hate
HATE_1482,"RK Comedian Ikkada, ka paul is very confident",non-hate
HATE_1483,iDream Nagaraju Interview With Bandla Ganesh Tarvata Anta Level Comedy Interview Ide Malla. :),non-hate
HATE_1484, nenu Cheppinappudu counter ivvandi ”,non-hate
HATE_1485,"Madam Miku first ga miku our heartfelt greetings. and I. P.S. If there are officers, this society will be a little better.",non-hate
HATE_1486,Andaru MLA lu elagay undali. Thanq MLA Garu,non-hate
HATE_1487,Veellandhari Kante RSP SIR & Eetala Sir Best Leaders ...,non-hate
HATE_1488,I'm Enjoyed a Lot Andi A Show Chusina Intha Fun Undaka Povachu Good Entertainment Keep it Up Bros,non-hate
HATE_1489,"Full Entertainment Ayindhi .. Revanth Reddy Maryadaga Matladina Thittinatte Undhi ..
SuperooO super",non-hate
HATE_1490,Songs Kosam MV Ki Vellochu Super Unnayi 3 Songs,non-hate
HATE_1491,Venkatesh Gaari Mature Quality Entante. Ippatiki New Born Star Laaga Kamal Gari Meedha Unna Fanisaani Choopistunnaru. Salute to u venkatesh garu,non-hate
HATE_1492,Ekkada bro nuv ee movie chusindi,non-hate
HATE_1493,Ye Mobile Lo Thesav Bro Clarity Bagundhi,non-hate
HATE_1494,"The courage to be disliked ""EE book summary cheyyandi anna.",non-hate
HATE_1495,"Thank you, bro. Roju Mrng Walk Ki Veletappudu Ne Video Vinta, U R Adding Lot Of Value For Me And My Tym",non-hate
HATE_1496,Chalabaundi Video Correct Time Lo Release Chesaru Hattsoff to Your Voice And Motivational Information,non-hate
HATE_1497,Venky mama ekkaduna positive vibes anthe,non-hate
HATE_1498,100 % Cheppav .... nijame bro,non-hate
HATE_1499,True Naa Jevithamlo Jarigindi,non-hate
HATE_1500,Enthaina Paatha Cinemaalu Paatha Cinemaale,non-hate
HATE_1501,Epudu varaku upload Chysina videos e video a clarity ga vundi,non-hate
HATE_1502,Movie Block Buster Mass Jathara Bomma Daddarillipoyindi In Theatres Super Dooper Hit,non-hate
HATE_1503,Disha nendutalade petrol bunk lo CCTV futage tapa Vera AEMI Avedence Ladu Valani Encounter Caseru Velani Cheyandi Apudu Naku Matram Tapa Naku Matram Tapa Namakamlad,non-hate
HATE_1504,𝙰𝚝𝚝𝚎𝚗𝚍𝚎𝚗𝚌𝚎 𝚐𝚞𝚛𝚒𝚗𝚌𝚑𝚒 𝚞𝚗𝚝𝚎 𝚞𝚗𝚝𝚎 𝚋𝚊𝚐𝚞𝚗𝚍𝚞,non-hate
HATE_1505,4 LO SECOND DI TISI 1 KI 2 KI MADYALO PEDITE 4 Avtundi Order Saripotadi,non-hate
HATE_1506,Same nen ade anukunna,non-hate
HATE_1507,okkati kuda thiyanavasarm ledhu,non-hate
HATE_1508,Yela Vastai Ilaanti Idea Lu…,non-hate
HATE_1509,Table Reverse Move Cheyyali Okasari,non-hate
HATE_1510,4 Unnai kada Andulo Okati Teyali Easy,non-hate
HATE_1511,Baga Chepevu tallyi ne matallo nayam unnadhi,non-hate
HATE_1512,Nenu ithae thinevadini intsepu chudanu,non-hate
HATE_1513,Lost is the first two of the sadness to take one of the first two sadness and put one in the Lost Simple,non-hate
HATE_1514,Asalu dance undhi chudu bro hats off antey,non-hate
HATE_1515,What to search on YouTube Bro for this song,non-hate
HATE_1516,"Avasaram aite shaving kooda chestaaru, prabuthyodoyogulu adi vaari istam.",non-hate
HATE_1517,Chinna Vishayanni Rajyantham Chesthaventi. Manchi News Collect Cheyyi Nuvvu,non-hate
HATE_1518,Dani Kanna Mundu Gym Lantivi Join Aiyi Slim Avali Apudu Try Cheyochu Evanni,non-hate
HATE_1519,"Once upon a time, you can not find it ... you can not find it ...",non-hate
HATE_1520,"Dantha Prashant Kishor Plan, TRS Valle Malla Reddy Meeda Attack Chesinru Sympathy Kosam. Kavalane Revanth Reddy Ni Blame Chesthunnaru. Inthaku mundu srinivas goud meeda daadi chesaru ani drama chesaru. IPPUDU MALLA REDDY VANTHU",non-hate
HATE_1521,Some people don't even have a job,non-hate
HATE_1522,Kinda paddakuda meeku emkaledu,non-hate
HATE_1523,"Brothers, if you go to life, please drive and drive",non-hate
HATE_1524,"BJP TRS iddaru dosthlu le, bayatiki ivanni dramalu",non-hate
HATE_1525,"Edhena Manam Echey Goiram KCR, Non Sense",hate
HATE_1526,Money can be wandered if it is lost but drives a little careful,non-hate
HATE_1527,Cheppedhi em lekapoina ha hm ani anna parledhu Vallatho Matladali Anthe,non-hate
HATE_1528,Phone Cut Chesthey,non-hate
HATE_1529,Dharani Badha Padthunte naku nachatle e videos vdu,non-hate
HATE_1530,What are you talking about?,non-hate
HATE_1531,BJP Strong Fight Chestundi Good Job Jai Telangana Jai ​​BJP ..... Murkapu Palanu Tiseyandi,non-hate
HATE_1532,Orei that stuff is the story of the story,non-hate
HATE_1533,"Chala Good News, Cheppavu Anna, KCR Ni Lopaleyandi.? Kaleswarm Project Katti Chalu. Andaru Potaru KCR.Ktr.hareesh Rao Andru Potaru.trs Party",non-hate
HATE_1534,Rashmidi says that the Adi is not the same as the women's defamation,non-hate
HATE_1535,Madam sigupaduthundhi emina guthochintlu undhi,non-hate
HATE_1536,Meru battalu vesykovadam avasarama ra,hate
HATE_1537,Edhe Meeru Ruling Party Valani Target Chesunte Ani Media Channels Vache Valu ...,non-hate
HATE_1538,KTR Chaala Manchi Gah Hyderabad It Ni Devlope Chesthunnaru,non-hate
HATE_1539,Modi Valla Desam Religion Anni Kottusasthundhi,hate
HATE_1540,Rahul Gandhi and Lokesh Pappu Vallu,hate
HATE_1541,"Jaganana.sainyam.from.chatla
",non-hate
HATE_1542,Zin Ping Gadini Corona Vachi Pothe Anni Set Auvtai,hate
HATE_1543,Rey Shaik Amar Mee muslims ki ucha padthadhai bjp ante Anduke Prathi Oka Muslims BJP Ki Against ga untaru Mee Mee Mee Mee,hate
HATE_1544,Chillar Party lu Anne okkatyna modi ji ni next pm modi ji yogi baba ni,hate
HATE_1545,"Deniki Paniki Radu, Nithish Become a Chapraci to Lalus Kotubham.",hate
HATE_1546,Kim mama Enter aithe war one side ea,non-hate
HATE_1547,Yuddham Vadhu PLEASE FOR Lokham Lo Shanthi Vunchadhi,non-hate
HATE_1548,"Na Bochulo TV News hmtv fake vedio
",hate
HATE_1549,Jai Komati Reddy Brothers,non-hate
HATE_1550,"For the sake of Rajanna's development, people will win you",non-hate
HATE_1551,Vaadu taagi vunnadu..vaadiki Entha Cheppina Kooda Ardam Kaadu.,hate
HATE_1552,A man named Rayantanna lives like an activist ...,non-hate
HATE_1553,Radhakrishna criticizes everyone in the world.,non-hate
HATE_1554,Super Sharmilamma Garu.,non-hate
HATE_1555,Best Leader and Best Police.Praveen Kumar Sir,non-hate
HATE_1556,Praveen Kumar Sir Garu Really Dynamic Police Officer ...,non-hate
