S.No,translated_texts,Label,telugu_texts
HATE_1176,Broy is your judgement correction,non-hate,?? judgement ??????? ?? ?????? ????
HATE_1177,Srikanth Reddy is definitely wrong. It is still wrong to say that Kalyani is a mistake,hate,Srikanth reddy ????????? ?????. ? ????? ???????? ??????? ???? ??????? ???? ?????
HATE_1178,Nag Sir Said About Natraj Master,non-hate,nag sir said about natraj master is absolutely correct ???????? ??????? ??????? ??????????????? ??? ????????... super nag sir
HATE_1179,"Akhil, shiva good players .. are playing very well .. I like Akhil and Shiva",non-hate,"Akhil, Shiva good players.. ???? ???? ???????????..i like Akhil and shiva"
HATE_1180,Vedhavalu vedhavalu anni chotla vunnaru..inka janalani yedipinchadam tappa,hate,Vedhavalu Vedhavalu anni chotla vunnaru..inka janalani yedipinchadam tappa
HATE_1181,When is the TV Five when false propaganda,hate,???? ???? ??????? ??????? ????????
HATE_1182,Byredyy Cheypdu Kada Ra Nenu Party Maredu Ledu Ani Mee Moddalo Gola Yanti Raa,hate,Byredyy cheyppadu kada ra nenu party maredu ledu ani Mee moddalo gola yanti raa
HATE_1183,Vadu em matladuthunnado EANNA Artham Aithe. Kanisam telugu translator ni pettukovachuga. Telugu Bashaki respect Ivvaru BJP Vallu,hate,Vadu em matladuthunnado eanna artham aithe. Kanisam telugu translator ni pettukovachuga. Telugu bashaki respect ivvaru BJP vallu
HATE_1184,Anna Nee Comedy Expressions Baguntai,non-hate,Anna nee comedy Expressions baguntai
HATE_1185,Bro Ni Slang Ee Neeku Plus Point ...... Manchi Humour Undi Neelo .... Elane Regular Ga Videos Chestu Undu .... 100k Pakka ...,non-hate,Bro ni slang ee neeku plus point ...... Manchi humour undi neelo.... Elane regular ga videos chestu undu .... 100k pakka...
HATE_1186,The AP people still have to be brought to mind,hate,?????????? ap ?????? ?????? ????????????
HATE_1187,Shame wanders,hate,?????? ??????? ?????????????? ??? ????????? ??????? ????????????????
HATE_1188,"If the YCP wins again, the people of Andhra Pradesh should eat 200% this is true",hate,????? ?????? ???????? ???????????? ?????? ??????? ?????? ?????? 200% ??? ????
HATE_1189,"For the sake of MLA ticket, this time for the sake of the post, the government trip to the government, sin CM guarantees.",non-hate,"MLA ticket ????, ????? ????? ? ??? ????? ???????? ?????, ???? CM ???? ??????? ?????? ???.."
HATE_1190,"Metu Theskoni Kottandi, Okka Jobs Ledu, Devlopmet Ledu, Asalu Money Veyydam Votes Kosam Pedda Scam Idi",hate,"?????? theskoni kottandi, okka jobs ledu, devlopmet ledu, asalu ??????? veyydam votes kosam pedda scam idi"
HATE_1191,This is the first time Mahesh Babu laughs at this range. Big thanks to sathi anna.,non-hate,????? ???? ? ????? ?? ?????? ?????? ???? ??? ????? ????. Big thanks to Sathi anna.
HATE_1192,Great sir you have no smoke called a little hero,non-hate,????????? ???? ??? ????? ???? ?????? ???? ????
HATE_1193,"Avatar is a fairy world. Its director James Cameron is more amazing. To his ideas, creativity",non-hate,"AVATAR ?? ?????? ???????. ???? ????????? James Cameron ???????? ???????. ??? ideas ??, creativity ??"
HATE_1194,Uma Anna means stomach inflammation just west candate v,hate,?? ???? ???? ????? ??? ????? ?????? candate ?? ??????
HATE_1195,DÄ«nam'ma jÄ«vitaá¹ ..... okka postive kÄmeá¹‡á¹­ kanÄ«saá¹ cÅ«dÄá¹ ani vetikina dorakaá¹­du kadÄ anvÄ“á¹£a .....,hate,D?nam'ma j?vita?..... Okka postive k?me?? kan?sa? c?d?? ani vetikina doraka?l?du kad? anv??a.....
HATE_1196,"Watch videos as you cool
Leave e Tenksons",hate,"???? ???? ?? ???????? ?????????
? ?????????? ?????????"
HATE_1197,Nataraj Master has just understood that Ravi is true ... Nataraj Master is still a man ...,hate,Ravi ???? ?????? ????? ??? ??????? ?????? ??????? ?? ?????????????...?????? ??????? ?????????? ????? ? ??????...
HATE_1198,Indraja Garu Superb Timing in Indraja Gary Fans Promo,non-hate,?????? ???? ?????? ???????? ?????? ???? ??????? ??????? 
HATE_1199,Ravi Prakash Vunnappudu. Chaala Mandhi House lloki. Veylli. Vaalla Bed Rooms varaku Veyllaru. Chaala Mandhi. Jevitaalato. TV9 lanja channel ani. Chaala Mandhi. Cheyparu,hate,Ravi prakash vunnappudu. Chaala mandhi House lloki. Veylli. Vaalla bed rooms varaku Veyllaru. Chaala mandhi. Jevitaalato. TV9 lanja channel Ani. Chaala mandhi. Cheypparu
HATE_1200,Matter Divert Chestundii Ame Ra Hamara Prasad ga Bura Leda Kanisam Legal ga ela adoption chesukovali ani gutleee,hate,Matter divert chestundii ame ra hamara Prasad ga bura leda kanisam legal ga ela adoption chesukovali ani gutleee
HATE_1201,Bjp lo seat kosam baga chesav le stunt,hate,?BJP lo seat kosam baga chesav le stunt
HATE_1202,RGV is very correct,non-hate,RGV ???????? ???? ??????? ?? ????
HATE_1203,Each one speaks very cool in an interview. He tells the facts fearlessly. RGV ...,non-hate,????? ?? ????????? ?? ???? ???? ?? ???????????. ?????? ????????? ????????. ??????? ?????? ??????? ???? ???????? ?????? ??????? ??????? RGV...
HATE_1204,"Theater Kellina Badhitula ga ma badhalu panchukunnam anthe. Boothulu Tittadam, Family Ni Involve Cheyadam EE Panchayati lu oddu amma. Happy ga undandi",hate,"Theatre kellina badhitula ga ma badhalu panchukunnam anthe. Boothulu tittadam, family ni involve cheyadam ee panchayati lu oddu amma. Happy ga undandi"
HATE_1205,AnnnaAaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahoo should,non-hate,Annnaaaaa...... Ekkadikellav anna innirojulu.. Pandemic time lo ni postmortem videos tho na stress antha pogattav especially with Saleem review...
HATE_1206,Arey TV9 NUV Pole has anything to do with,hate,arey tv9 nuv ??????? ???? ?? ????? ?????? ???? ??
HATE_1207,US Youngting Super Cinema Super,non-hate,??????? ???? ????????? ?????  ?????? ????? 
HATE_1208,Ippudu Nuvvu Cheppindi Yem Pikutanani News Chesataru,hate,Ippudu nuvvu cheppindi yem pikutanani news chesataru
HATE_1209,Ni Thumbnail Jathini Thenga,hate,Ni thumbnail jathini thenga
HATE_1210,Puri Sir Me Flop Movies Meetho bagu paddollu mimmalni marchipoyi undicchu sir. But memu kadu. Love you sir. E Movie Tho Vijay Manchi Super â­ï¸ Avvalani Korukuntunna ðŸ’ðŸ’ðŸ’,non-hate,Puri sir me flop movies kuda vere directors teese hit movies kante manchi philosophical ga entertaining ga untai. Meetho bagu paddollu mimmalni marchipoyi undicchu sir. But memu kadu. Love you sir. E movie tho Vijay manchi super ?? avvalani korukuntunna ??????
HATE_1211,Puri Raasina Dialogues Mahesh Chepthea Excellent Ga Set Avthai,non-hate,Puri raasina dialogues mahesh chepthea excellent ga set avthai
HATE_1212,Endhukura Ayya Pichi Pichi Thumbnails pedtharu ???,hate,Endhukura ayya pichi pichi thumbnails pedtharu???
HATE_1213,U DON'T WORRY BRO AA Kalyani Ki Dhula Patti iDHANTHINTHINDHI,hate,u don't worry bro aa kalyani ki dhula Patti idhantha chesthundhi
HATE_1214,Baga Chepparu..Maha News Is Waste News..only BJP Ki,hate,"?baga chepparu..maha news is waste news..only bjp ki, tdp ki support vallu"
HATE_1215,Pora Howley,hate,?pora howley
HATE_1216,Raw Srikanth,non-hate,??????? ?? ???????????????? ?? ?????????
HATE_1217,"Jai Kumar Next Nee Amma Nee, Sisters Nee Andharni Petti Prank Thesthadu Vadu Wait",hate,"jai kumar next nee amma nee ,sisters nee andharni petti prank thesthadu vadu wait"
HATE_1218,inkaa saavaledhu le vaadu baane sacchaadu yedhavakanipisthoone vundhigaa,hate,inkaa saavaledhu le vaadu baane sacchaadu yedhavakanipisthoone vundhigaa
HATE_1219,Vaadikasalu em maatlaaduthunnaado clarity ne ledhu maatlaaduthunnaadu yedhava,hate,?vaadikasalu em maatlaaduthunnaado clarity ne ledhu malli maatlaaduthunnaadu yedhava
HATE_1220,Gayathri Medam Super Cheppinav Good,non-hate,?gayathri medam super cheppinav good
HATE_1221,Telangana Governor Tamil Sai Garu is very happy to come to Open Heart with RK,non-hate,Open Heart with RK ?? ??????? ??????? ???? ?? ???? ????? ???? ??????? ???? ??????? ??? ???????
HATE_1222,Radhakrishna Garu after many years you looked happy and grehens the governor of honor,non-hate,????????? ???? ???? ????????? ?????? ???? ???????? ?????????? ???????????? ???? ???? ??????? ???????? ????????? ???????? ????????
HATE_1223,Nice talking very easy Her Excelency Governor Madam,non-hate,???? ????? ????????? ??????? her excelency ??????? madam
HATE_1224,Meeku Governer POST IVVADAME WASTE,hate,Meeku governer post ivvadame waste
HATE_1225,"Meru Enni Kathalu Padda KCR 100% Next CM Of Telangana, Cheap Interviews With Cheap ABN Rada Krishna",hate,"Meru enni kathalu padda kcr 100% next cm of telangana, cheap interviews with cheap abn rada krishna"
HATE_1226,Asal Mamulga ledu ... thop ... awesome,non-hate,Asal mamulga ledu ...thop... awesome
HATE_1227,ah lobo ni marchandi ra babu,hate,ah lobo ni marchandi ra babu
HATE_1228,This is the wonderful video you've seen in my life,non-hate,?? ?????? ?? ????? ????????? ?????? ???
HATE_1229,Ending naku tears vachai bro. Harsh Sai Real Hero. God Bless U Brother.,non-hate,Ending naku tears vachai  bro. Harsh sai real hero. God bless u brother.
HATE_1230,Intentionally Geliki Emina Serious ITE NEWS Chedamani ...,hate,Intentionally geliki emina serious ite news chedamani...
HATE_1231,Social Media Parma Chetha Media Valu Asalu Vishayalu Telsikounda Matladam Manchi Kadu,hate,social media Parma chetha media valu asalu vishayalu telsikounda matladam Manchi Kadu
HATE_1232,News Valu Pen Undani Rayatam Manchidi Kadu,hate,news valu pen undani rayatam manchidi Kadu
HATE_1233,Evadentha echaru neeku dabbulu bese yadavalraa,hate,Evadentha echaru neeku dabbulu bewerse yadavalraa
HATE_1234,Low to comedy ...,hate,??? ?????? ?? ?????? ... ???????? ???????? ??????... ??????? ???
HATE_1235,Public Meeting Lo ala Matladalo Teliyani Valaki Anchor Chance Ivvakamdi,hate,public meeting lo ala matladalo teliyani valaki anchor chance ivvakamdi
HATE_1236,"Over Confidant Ithe Alage Untadi ,,, Super Ga Cheppi Silent Chesinav Suma Akka,",hate,"Over confidant ithe alage untadi,,,, super ga cheppi silent chesinav Suma akka,,,"
HATE_1237,Suma Akka Meeru Cooking Show Kuda Anchoring Chesthe Chala Baaguntundi,non-hate,Suma akka meeru cooking show kuda anchoring chesthe chala baaguntundi
HATE_1238,"Ali Siggundali No, Sanskaram No, Smiling So Celebrities Ki",hate,"??? siggundali ????, sanskaram ???? ????, ??????? ???? so called celebrities ki ????? ??? ????????"
HATE_1239,Dayachesi. Ali ki anchoring ivvakandi,hate,Dayachesi. Ali ki anchoring ivvakandi
HATE_1240,Suma akka u r super ni pakkana adu enduku chandalam ga,hate,Suma Akka u r super ni pakkana adu enduku chandalam ga
HATE_1241,Ore Ali Inta Asahyamga Matladutaav Adavallatho Double Meaning Dialogues Matladutav Nuvvu MLA Ayyi Emi Peekutav,hate,Ore ali inta asahyamga matladutaav adavallatho double meaning dialogues matladutav nuvvu MLA ayyi emi peekutav
HATE_1242,Ali Double Meaning Gadu..ChePPU DEBBA PADALI,hate,Ali double meaning gadu..cheppu debba padali
HATE_1243,Ali Mi Wife Kerala Vellara Ani Adigithe Niku Ela untundhi ???? Thappura Nayana Ala Matladatam,hate,Ali mi wife Kerala vellara Ani adigithe niku ela untundhi????  Thappura nayana ala matladatam
HATE_1244,"Vaadiki baagaa balsindhi.mind dobbinattundhi, kodikki.",hate,"Vaadiki baagaa balsindhi.mind dobbinattundhi,kodikki."
HATE_1245,NUV Politics Loki Vellali AnukutunnaveMo,hate,Nuv politics loki vellali anukutunnavemo.. Ila matladithe ninnu address lekunda kodatharu prajalu
HATE_1246,Nidra pothunna gaadida nu lepi thanninchukovadam ante Ide. Dayachesi vadiki public lo mike ivvakandi.,hate,Nidra pothunna gaadida nu lepi thanninchukovadam ante ide. Dayachesi vadiki public lo mike ivvakandi.
HATE_1247,Waste gaadu ali,hate,Waste gaadu ali
HATE_1248,Suma gurinchi evvaru cheppanakkarledu. Tanante maaku chala istam.,non-hate,Suma gurinchi evvaru cheppanakkarledu . Tanante maaku Chala istam.
HATE_1249,Deneke paneameladau. Vadeke paneameladu.neku.paneameladu. RAA,hate,Deneke paneameladau. Vadeke paneameladu.neku.paneameladu. Raa
HATE_1250,Climax Chala Bagundhi Lot's Of Fun Enjoyed A Lot,non-hate,Climax chala bagundhi lot's of fun enjoyed a lot
HATE_1251,"Very nice bro. As a child, we all did it Bro is very happy to see this series. Best of luck bro.",non-hate,???? ??????? ????. ????????? ??? ????? ???? ?????? ???? ???? ?????? ?? ???? ? ?????? ?????????. Best of luck bro.
HATE_1252,EE Series Mana Filmymoji Channel Lo Best Series Avalani Korukuntuna,non-hate,Ee Series Mana FilmyMoji Channel Lo Best Series avalani Korukuntuna
HATE_1253,Comedy is much better in Filmy Moji than Fun Moji,non-hate,Fun moji ????  filmy moji  ?? comedy ???? ??????????
HATE_1254,Great Women,non-hate,?????? women
HATE_1255,Yenta Spastanga Ame Voice Undo Chudandi ...,non-hate,Yenta spastanga ame voice undo chudandi...
HATE_1256,Waste Fellow in Tollywood,hate,Waste fellow in tollywood
HATE_1257,Someone after Bundla Ganesh is a speech.,non-hate,???? ???? ?????? ?????????? ????? ????? ???? ??????? ??????
HATE_1258,"Of course, Pawan Kalyan is a voice ..",non-hate,????? ???? ??????? ???? ?? ?????.. ??????? ????????
HATE_1259,Nenu chusina all speech lo ekkuva sarlu chusanu,non-hate,Nenu chusina all speech lo ekkuva sarlu chusanu
HATE_1260,Speech that seem to see how many times,non-hate,????? ?????? ????? ??????? ???????? speech
HATE_1261,42 times the bore is not beaten,non-hate,42?????? ?????? ???? ???? ????? ????
HATE_1262,Na Friend Valla Papa Ki Operation Ite Aravind Gari Foundation Help Chesindi. He is real doing a comendable job,non-hate,Na friend valla papa ki operation ite Aravind gari foundation help chesindi. He is really doing a commendable job
HATE_1263,Tokka Kooda oppukonu,hate,Tokka kooda oppukonu
HATE_1264,"Telangana Lo BJP Vastene ... EE TRS Aarachakaalu Tagguthai, Police La Ni Venta Pettukoni",hate,"Telangana lo bjp vastene...ee trs aarachakaalu tagguthai, police la ni venta pettukoni motham Telangana ni nashanam chestunnaru"
HATE_1265,KTR Matladedi Kanisam Ardam Chesukune Brain Leni Vallu Kuda KTR Anadame. Next Election Ki Sam Place Nunchi Poti Chesi Deposit Techukunte Chalu.,hate,KTR matladedi kanisam ardam chesukune brain leni vallu kuda ktr anadame. Next election ki same place nunchi Poti chesi deposit techukunte chalu.
HATE_1266,"Roja Garu Ituvanti Baddu, Biraagilanu Interview, Mee Dignity Thagguthadi, Ituvanti Vaaru Samaajaniki Cheeda Purugulu",hate,"Roja garu ituvanti baddu, biraagilanu interview , mee dignity thagguthadi, ituvanti vaaru samaajaniki cheeda purugulu"
HATE_1267,Rajyanganni Marustham Ante Matram ThaggedEle,non-hate,Rajyanganni marustham ante matram thaggedele
HATE_1268,Arey Howle Nizamabad MP Pasupu Bord Edhi Be NV esukunna Angi Angi Lagu Kudha Cangress ICchindhe and Telangana Icchindhi Kuda Cangress,hate,Arey howle Nizamabad MP Pasupu bord Edhi be Nv esukunna Angi lagu kudha Cangress icchindhe and TELANGANA icchindhi kuda Cangress A meeru cheppe Digital India lo ni AAdhar card kuda Cangress tecchindhe
HATE_1269,"Chi Chi Neeku Anchoring Evadu Nerponchondo .... Farmers Ni Arrest Chesinaru Ante ... Safety Ki Antava, Intha Dikkumaalina YYADAM CORRECT ANTAVA NV",hate,"Chi chi neeku anchoring evadu nerponchondo....farmers ni arrest chesinaru ante...safety ki antava,intha dikkumaalina answer emina vuntada asalu,ante anyayam jarigindi Ani chepte arrest lu chestaru,ala arrest cheyyadam correct antava nv"
HATE_1270,Waste Fellow He Did Noting For Telengana,hate,Waste fellow he did nothing for telengana
HATE_1271,Gundu babu esari neku gundu sunna vasthundi no winnings,hate,Gundu Babu esari neku gundu sunna vasthundi no winnings
HATE_1272,"Your analysis ... Very Interesting, Real. We listen meticulously. We Appreciate You",non-hate,"?? ????????? ...???? ?????????????, ?????. we listen meticulously. we appreciate you"
HATE_1273,"Babu Gogineni Garu, Suereb GA CHEPARU",non-hate,"Babu gogineni garu, suereb ga Chepparu"
HATE_1274,Rk gaaru pedda kulagajji gaaru,hate,RK gaaru pedda kulagajji gaaru
HATE_1275,We are proud to say that you are your fan,non-hate,?? ??????? ??? ??????????????? ???? ??????? ???? ??????? I love you annayya
HATE_1276,Anna does not sleep three to four times a day .....,non-hate,????? ? ?????? ?????? ???? ???????????? ?????????? ???? ?????????.....????? ?????
HATE_1277,"Miru miru okkatey, madyalo fans ey suffer avuthaaru",hate,"Miru miru okkatey, madyalo fans ey suffer avuthaaru"
HATE_1278,Dabba rayulu,hate,Dabba rayulu
HATE_1279,You are born from where you are your family.,hate,???? ?? ???????? ??????? ???????????  ???????? ?? ?? ????? ???? ???????? ??? ???? ? ???????? ???????? ????? ?? ???????? ?????? ??? ????????? ?? ?????? ???????? ?????? ?? ?????????
HATE_1280,Orey miru ches is not developed ...... except for the demons,hate,Orey miru chese ????????? ????? ??????? ......?????? ??????? ????
HATE_1281,"Sannasi Anagaane Nene Ani, Mee Honesty Ki Hat's Off Sir",hate,"Sannasi anagaane Nene ani , mee honesty ki hat's off sir"
HATE_1282,Idendayya idi mariiiii ila thayarayyaru dandaalu ra ayya,hate,Idendayya idi Mariiii ila thayarayyaru Dandaalu ra ayya
HATE_1283,Nani inkosari PK Speech Chudu ... Sollu Kakunda Raise Chesina Points Gurinchi Matladu ... Sannasivenuv No Doubt,hate,Nani inkosari pk speech chudu ... Sollu kakunda raise chesina points gurinchi matladu... Sannasivenuv no doubt
HATE_1284,Peoples Be Like: Nuvvu Nijanga Erripukivi,hate,Peoples be like: nuvvu nijanga erripukivi 
HATE_1285,Sanyasi Ante Yevaro anukunna e korja gada,hate,Sanyasi ante yevaro  anukunna e korja gada
HATE_1286,Maa karama elanti ministers undadam,hate,Maa Karama elanti ministers undadam
HATE_1287,"PK Cheppindi Enti, Veedu Cheppedi Enti, Kulala Madya Chichu Pedadam Annatu Undi Veedu Matladedi",hate,"Pk cheppindi enti , Veedu cheppedi enti , kulala madya chichu pedadam annatu undi veedu matladedi"
HATE_1288,Hero in Pawan Kalyan Movies ... '0' in Politics,hate,???? ??????? ?????? ?? ????... ??????? ?? ' 0'
HATE_1289,"Asalu Villu Prajalaki EM Manchi Chesthunnaroo Cheppandi, Boothulu Maatlaadi Public Ki TV Ki Entertainment Cheyakandi",hate,"asalu villu prajalaki em Manchi chesthunnaroo cheppandi, boothulu maatlaadi public ki Tv ki entertainment cheyakandi"
HATE_1290,"karthikeya masth cheppinddu, sudheer miru jabardasth ki belong avvaru, dhee ki belong avvaru, ma audience ki belong avutaru",non-hate,"karthikeya masth cheppinddu, sudheer miru jabardasth ki belong avvaru,dhee ki belong avvaru, ma audience ki belong avutaru "
HATE_1291,"New Year Happy Super Event Sudhir and Rashmi Dance Super
IAM WATHING WORKING EVENT",non-hate,"???? ??????? ????????????  ????? ?????? ?????? ???? ????? ?????? ????? 
Iam wathing ????????? ??????"
