S.No,Comments,Label,
HATE_1273,"Babu gogineni garu, suereb ga Chepparu",non-hate,
HATE_1274,RK gaaru pedda kulagajji gaaru,hate,
HATE_1275,నీ అభిమాని అని చెప్పుకోవడానికి మాకు గర్వంగా ఉంది అన్నయ్య I love you annayya,non-hate,
HATE_1276,అన్నా ఈ స్పీచ్ రోజుకు మూడు నాలుగుసార్లు చూస్తేగాని నాకు నిద్రరాదు.....సూపర్ బండ్ల,non-hate,
HATE_1277,"Miru miru okkatey, madyalo fans ey suffer avuthaaru",hate,
HATE_1278,Dabba rayulu,hate,
HATE_1279,మీరు మీ ఫ్యామిలీ తగలెయ్య ఎక్కడినుండి  పుట్టాడు రా మీ అందరూ మీరు మాట్లాడే భాష అసలు ఆ చిరంజీవి ఫ్యామిలీ దగ్గర మీ ఫ్యామిలీ ఎందుకు పని చేస్తుంది రా వెర్రి వెంగళప్ప నువ్వు నీ మాట్లాడను,hate,
HATE_1280,Orey miru chese అభివృద్ధి ఏమైనా ఉన్నాయా ......భూతులు తిట్టడం తప్ప,hate,
HATE_1281,"Sannasi anagaane Nene ani , mee honesty ki hat's off sir",hate,
HATE_1282,Idendayya idi Mariiii ila thayarayyaru Dandaalu ra ayya,hate,
HATE_1283,Nani inkosari pk speech chudu ... Sollu kakunda raise chesina points gurinchi matladu... Sannasivenuv no doubt,hate,
HATE_1284,Peoples be like: nuvvu nijanga erripukivi ,hate,
HATE_1285,Sanyasi ante yevaro  anukunna e korja gada,hate,
HATE_1286,Maa Karama elanti ministers undadam,hate,
HATE_1287,"Pk cheppindi enti , Veedu cheppedi enti , kulala madya chichu pedadam annatu undi veedu matladedi",hate,
HATE_1288,పవన్ కళ్యాణ్ మూవీస్ లో హీరో... రాజకీయం లో ' 0',hate,
HATE_1289,"asalu villu prajalaki em Manchi chesthunnaroo cheppandi, boothulu maatlaadi public ki Tv ki entertainment cheyakandi",hate,
HATE_1290,"karthikeya masth cheppinddu, sudheer miru jabardasth ki belong avvaru,dhee ki belong avvaru, ma audience ki belong avutaru ",non-hate,
HATE_1291,"నూతన సంవత్సర శుభాకాంక్షలు  సూపర్ ఈవెంట్ సుధీర్ అండ్ రష్మీ డాన్స్ సూపర్ 
Iam wathing సంక్రాంతి ఈవెంట్",non-hate,
HATE_1292,Climax telisikuda chusam ante that's all bcoz of Sudheer and Rashmi ,non-hate,
HATE_1293,Okko punch okko diamond la undi vro..nice edit..!!!,non-hate,
HATE_1294,Vijay Devarakonda fans ekkada thagedhele ,non-hate,
HATE_1295,సుధీర్ అన్నా మీరు ఎదుటివారితో మాట్లాడే విధానం చాలా బాగుంటది అందుకే మీరంటే అందరికీ ఇష్టం ఎంత పైకి ఏదిగినా ఇలాగే వుండాలి,non-hate,
HATE_1296,Sudheer gaaru team yekada unna full comedy...perfect time ki set ayyeka comedy chestharu ,non-hate,
HATE_1297,ndian marriages antey narakam.....i ve seen that hell....police case lu.... blackmailing ..chala untayi....vinthalu...viseshalu...vadhu brothers marriage vadhu...happy ga single ga undandi...focus on your goals.....love your parents...friends..god bless you all…,hate,
HATE_1298,lavada bro hater gallu chiller,hate,
HATE_1299,gudda lo rod dimuptha,hate,
HATE_1300,puk chinthapandu chestha na kodaka,hate,
HATE_1301,denginchukondi ra monna na notlo modda pettaru gah,hate,
HATE_1302,niamma puku denga siggu vundali ra,hate,
HATE_1303,na athulu anta leru na endhuku ra,hate,
HATE_1304,enko sari horn kodite gudda lo pedutha na kodaka,hate,
HATE_1305,music apara lanja kodaka,hate,
HATE_1306,Power star.....anedi oka brand....evadu padithe vadu power star kadu...kaledu...king okkade power star okkale...only powerful power star pavan Kalyan okkade,non-hate,
HATE_1307,Power star ante movies and acting kadu real star only,non-hate,
HATE_1308,Dil raju mari ekkuva chestunnadu... no one can name like pspk...,hate,
HATE_1309,కలం పట్టిన ప్రతీ వాడు శ్రీ శ్రీ కాలేడు హీరో అయిన ప్రతీ వాడు Power Star కాలేడు ,non-hate,
HATE_1310,"Don't compare it with powerstar, veedi laga chetha character lu, chillar gadi character lu cheyadu ma Power star, vaadu thaginchukunte manchidhi",hate,
HATE_1311,Power star antha scene ledu,hate,
HATE_1312,King of over acting  Anna ki best over actor award always goes to vijay konda babu ,hate,
HATE_1313,Comparing every single bok gadu with Pawan Kalyan,hate,
HATE_1314,Powar star okkade adhi pawan kalyan inka yavaru leru,non-hate,
HATE_1315,Yenta mandhi stars vunna PAWAN KALYAN YE  POWER STAR,non-hate,
HATE_1316,అనిల్ రావపూడి గారు చాలా బాగా చేశారు,non-hate,
HATE_1317,ఆడియో ఫంక్షన్ సూపర్ కామెడీ సూపర్ సూపర్ సూపర్,non-hate,
HATE_1318,Venky sir ki assalu ego anedi leneledhu sir ur super man,non-hate,
HATE_1319,సూపర్ అండీ ఆదిగారు.. చాలా బాగా చెప్పారు.. మీలా ప్రతి సెలబ్రిటీ ఆలోచించాలి..,non-hate,
HATE_1320,ADHI....మతాల మద్య చిచ్చు పెట్టే ఎదవల ను..వాల్లు నమ్మిన దేవుడు కూడా క్షమించడు...జైహింద్...జై శ్రీరాం,hate,
HATE_1321,బ్రదర్ మాకు ఇప్పటివరకు శివాజీ మహారాజు  తెలుసు ఆయన ఒక కుమారుని గురించి మాకు ఎలాంటి విషయాలు తెలియవు మీరు తప్పక వీడియో ‍‌‌చేయండి👍,hate,
HATE_1322,మాస్టర్ గారు ఇది ఇంటర్వ్యూ లా లేదు ఇంటరాగేషన్ లా ఉంది సూపర్ ,non-hate,
HATE_1323,కొట్టకుండా ఇంతసేపు మాట్లాడిన యాంకర్ కి నమస్కారాలు... చూసిన మనకి పిచ్చి  పరాకాష్ట ,hate,
HATE_1324,శివ అన్న నువు నవ్వుతూ నరకం చూపించే వాడివి అన్న... నీ ఇంటర్వ్యూ కి వచ్చే వాళ్లకి,hate,
HATE_1325,నా లైఫ్ మొత్తం లో  ఫార్వర్డ్ చేయకుండా చుసిన వీడియో super interview shiva bhayya,non-hate,
HATE_1326,baga chepparu nani anna meru correct,non-hate,
HATE_1327,nani anna meru great,non-hate,
HATE_1328,andukokune vaalu laga vunnaru meru natho comparision na,hate,
HATE_1329,kallu pathukoni sanka kannidhi meru,hate,
HATE_1330,jr ntr chala vinayam ga vuntaru,non-hate,
HATE_1331,కుత్త పగులుద్ది ఎవడైనా(any party/any other fans) ఎన్టీఆర్ అన్న ని తక్కువ చేసి మాట్లాడితే,non-hate,
HATE_1332,దేవుడు ఈ మనిషిని ఈ లోకంలో కి పంపేటప్పుడు నిజం మాట్లాడాలి అనే ఆప్షన్ Disable చేసి పంపి వుంటాడు,non-hate,
HATE_1333,యాంకర్ గారు అసలు మీకు దండం పెట్టాలండి బాబు మీ ఓపిక ఏంటండీ ,non-hate,
HATE_1334,He is genuine person అందుకే లోకల్ చిల్లర నాయకులు అంతా కలిసి వాడిని టార్గెట్ చేశారు,non-hate,
HATE_1335,కేతిరెడ్డి గారు మీరు తిరగడం తప్ప ప్రభుత్వం నుండి నిధులు ఏమైనా తెస్తున్నారా.,hate,
HATE_1336,Rai అతను ఉద్యోగం correct గా చేస్తున్నాడు ఎందుకు ర నాయకులు అందురు కలిసి నిందలు వేస్తారు... నిజాయితీ పని చేస్తే ఎవరికీ నచ్చదు..ఛీ,hate,
HATE_1337,RIP Ap Politicians ....అంత మంది ఒక్కడిని టార్గెట్ చేశారు అంటే వాడు ఖచ్చితంగా వాడి డ్యూటీ చేస్తూ ఉండి ఉంటాడు....,hate,
HATE_1338,Mādi telaṅgāṇa rāṣṭraṁ sār.... Kānī rājakīya nāyakulalō mīraṇṭē entō gauravaṁ........,non-hate,
HATE_1339,Andarilo niladhiyadam. Sari ayina paddathi kadhu. Every one has self respect. He is also citizen ok.,non-hate,
HATE_1340,Sir M L A Garu Prajala Vadaku Meru Vachi ChalaBaga Matladinaru Sir Bat All M L As Nidarsanam. Very good Sir M L A Garu...,non-hate,
HATE_1341,Seemasimham ante ila undali great MLA gaaru Dharmavaram prajalu adhrushtavanthulu.,non-hate,
HATE_1342,Nayakudu ela undali God bless you sir,non-hate,
HATE_1343,"Sarpanchulu, corporator lu kadhu vallu lakshalu kottlu nokkeseki. Volunteers, respect ivvatam nerchukondi MLA",hate,
HATE_1344,"పాపం అతన్ని చూస్తే చాల జాలి వేస్తుంది అందరు  కలిసి ఇలా ఇరికించేసి వీడియో తీసి సోషల్ మీడియాలో పెట్టడం ఎంతవరకు కరెక్ట్..
ఎమ్మెల్యే కేతిరెడ్డి గారు మీరు హయ్యర్ ఆపీసర్ లని ఇలా ప్రశ్నించి వీడియో పెట్టండి.
ఇలాంటి చిన్న ఉద్యోగుల ని ఇబ్బందులు పెట్టి, మానసికంగ వాళ్లని హింసించకండి.",hate,
HATE_1345,"Volunteer chesedhi seva.. Praja seva oka rakamga... Adhi emi govt job kadhu, choppinavanni thala upu kunta cheyani ki. Time paduthundi andhariki anni chusukoni, vallaku help cheyali ante. Volunteer anevaru help chese vallu, society ki, andhukani help chepinchukondi anni Musukoni.. Pani kadhu chepinchukovalsindi.",hate,
HATE_1346,ఈ చిల్లర గుంపులో ఈ ఎంటెక్ బాబు ను అవమానిస్తే అందరికి పెన్షన్ వచ్చినట్టు M L A బిల్డప్ ఇచ్చి షేహాబాష్ అనుకొంటారని భ్రమ ఎంటెక్ చేసినోడు ఈ జాబ్ ఎందుకు ఇంకా కూలి చేసుకోమంటారు ఈ ఎమ్మెల్యే ఇంతేగా వీళ్ళు చేసేది ఖర్మ. హైదరాబాద్ లో జాబ్ చూసుకో గడ్డం బాబు,hate,
HATE_1347,Ilanti MLA Anni niyojaka vargallo enduku leru!!!,non-hate,
HATE_1348,అన్నయ్య పేరు వింటే గూస్ బమ్స్ వస్తాయ్,non-hate,
HATE_1349,Rgv tho vaka interview plan chesthunava nuvu kuda,non-hate,
HATE_1350,Idi Edo reel kabhatti sari poindhi lekha pothe aadhi anna deenikhi kuda eadoka setair veseavadu Mee midha,non-hate,
HATE_1351,Mana nāyakulu eppuḍu cinna vāḷḷa mīda pratāpaṁ cūpistāru..... Phasṭ pōyi rōḍlu vēyaṇḍi nīṭ gā....,hate,
HATE_1352,"మీకు చపడం ఈజీ అక్కడ అనుభవించే వాలకు తెలుస్తాధి....  అక్కడ 14 అంతే మా వూరిలో బస్ లో 198,146,114 ఇలా పోతున్నాం..",hate,
HATE_1353,Mundhu RTC Buses lo students entha ibbandhi padivelthunnaru chudandii valla hanging conditions you have to notice everything,hate,
HATE_1354,"Thumbnail marchuko bro ayana CI,SI kaadhu me veiws kosam edhanna pedtharu",hate,
HATE_1355,"Auto vallu, volunteer meda kadu . 1st roads drainage etc choodu",hate,
HATE_1356,Nuvvu king mawa,non-hate,
HATE_1357,ముందు అరెస్ట్ చేయండి.. మీడియా ముద్దు తీసుకురండి రా...,hate,
HATE_1358,బానిస కట్టప్పలు బయటకి వచ్చారు..ఇక జగన్ కి భజన చెయ్యడానికి..,hate,
HATE_1359,నువ్వు ఏమి పని మీద వచ్చావు నువ్వు ఏది matlduthunvu ముందు mlc ni arest చెయ్యండి,hate,
HATE_1360,Inthavaraku Oka ysrcp mla velli Subrahmanyam family ni kalisi matladaledu miru em sc minister ra miru em Cm thu,hate,
HATE_1361,Rey me self dabba apandi ra babu …. Elane late chesi janali yadavalni chestunnaru… mundu arrest cheyandi,hate,
HATE_1362,ముందు arrest చెయ్యండి. వాడు షికారు చేస్తున్నాడు. వాడు ఎందుకు మీడియా ముందుకు రాలేదు.,hate,
HATE_1363,Ore ni veshalu api pani chusko,hate,
HATE_1364,Me Bathukulu yenduku ra,hate,
HATE_1365,పేద బిడ్డల కోసం చేస్తున్న మీరు చేస్తున్న కృషి అభనందనీయం.,non-hate,
HATE_1366,hmtv ki koncham ina siggu unte..Title sakkaga petandhi first ..chepindhi okati ithe mi Title inkolla undhi ,hate,
HATE_1367,Mallanna fighting for every thing which is relevant to trurth,non-hate,
HATE_1368,Anchor ki questions adagatam reledhu ......,hate,
HATE_1369,Madam meeru good questions aduguthunnaru,non-hate,
HATE_1370,Thumbnail Chetha ga undi,hate,
HATE_1371,తెలంగాణ రాష్ట్రం త్వరలోనే శ్రీలంక   దేశానికి వచ్చిన  ఆర్థికమాంద్యం  కరువు కాటకాలు రాబోతున్నాయి ప్రజలందరూ  అనుభవించడానికి సిద్ధంగా ఉండాలి Rip TRS government   సీఎం కేసిఆర్ కి నివాళిలు  అర్పించాలి😭😭,hate,
HATE_1372,ANJI MAMA AND SATHI ANNA COMBINATION ADHIRINDI,non-hate,
HATE_1373,Jyosham kana nenu ni mida penchukuna prema goppadi Super ,non-hate,
HATE_1374,సార్ పాల్ గారు చాలా మంచి వ్యక్తి పదిమందికి మంచి చేసే వ్యక్తి సార్,non-hate,
HATE_1375,"సర్ అప్పుడప్పుడూ ఇతని ఇంటర్వ్యూ తీసుకోండి సర్,ఫుల్ ఎంటర్త్సైన్మెంట్ సర్,బాగా నవ్వుకోవచ్చు.....",non-hate,
HATE_1376,"పతనాన్ని కోరి తెచ్చుకోలేదు , ఎవరు ఏమి చేయలేదు  .. అంత ఆ  దేవుని కృప... ప్రభు ఆశీర్వాదం .",non-hate,
HATE_1377,ఇన్ని రోజులు ఏదో మూలాన సందేహం ఉండే పాల్ గారు పిచ్చోడా అని కానీ ఇప్పుడు కన్ఫర్మ్ అయింది నాకు ,hate,
